,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
7,Skyy Moore,0,0,86.9,0,0,KC,WR,147.3,168.3
8,Christian Watson,0,0,72.5,0,0,GB,WR,160.8,154.35
9,George Pickens,0,0,87.6,0,0,PIT,WR,164.3,159.9685
10,Jahan Dotson,0,0,88.6,0,0,WAS,WR,173.5,156.05
11,James Cook,0,0,100.3,0,0,BUF,RB,110.5,193.4
12,Dameon Pierce,0,0,100.3,0,0,HOU,RB,131.8,182.06
13,Alec Pierce,0,0,76.7,0,0,IND,WR,189.5,151.1785
14,Rachaad White,0,0,77.5,0,0,TB,RB,143,165.75
15,David Bell,0,0,55.3,0,0,CLE,WR,248.5,101.9
16,Jalen Tolbert,0,0,87.9,0,0,DAL,WR,174.8,159.3505
17,Isaiah Spiller,0,0,82.7,0,0,LAC,RB,130.3,174.7
18,Brian Robinson Jr.,0,0,107,0,0,WAS,RB,177,163.5
19,Wan'Dale Robinson,0,0,58.3,0,0,NYG,WR,210.3,122.5
20,Trey McBride,0,0,29.8,0,0,ARI,TE,251.5,87.65
21,Tyler Allgeier,0,0,81.5,0,0,ATL,RB,149.5,164.5
22,Tyrion Davis-Price,0,0,44.4,0,0,SF,RB,192.5,124.45
23,Tyquan Thornton,0,0,14.1,0,0,NE,WR,272.5,69.3
24,Zamir White,0,0,61.9,0,0,LV,RB,198.8,130.05
25,Khalil Shakir,0,0,16.8,0,0,BUF,WR,385,13.906
26,Romeo Doubs,0,0,53.1,0,0,GB,WR,194.5,127.8
27,Calvin Austin III,0,0,20.6,0,0,PIT,WR,345,36.3
28,Greg Dulcich,0,0,28.9,0,0,DEN,TE,312,56.95
29,Hassan Haskins,0,0,46,0,0,TEN,RB,209,117
30,Pierre Strong Jr.,0,0,22,0,0,NE,RB,276.5,72.46165556
31,Jelani Woods,0,0,34.2,0,0,IND,TE,280,75.6
32,Danny Gray,0,0,15.9,0,0,SF,WR,396,8.45
33,Keaontay Ingram,0,0,15.7,0,0,ARI,RB,236,88.01593333
34,Velus Jones Jr.,0,0,50.5,0,0,CHI,WR,276,88.61332222
35,Kyren Williams,0,0,14.7,0,0,LAR,RB,293,59.35
36,Kyle Philips,0,0,12,0,0,TEN,WR,303,53
37,Tyler Badie,0,0,12.9,0,0,BAL,RB,248,80.95
38,Jeremy Ruckert,0,0,5.4,0,0,NYJ,TE,0,91.58222222
39,Snoop Conner,0,0,11.9,0,0,JAC,RB,305,51.95
40,Jerome Ford,0,0,13.4,0,0,CLE,RB,0,95.58222222
41,Ty Chandler,0,0,9.1,0,0,MIN,RB,0,93.43222222
42,Isaiah Likely,0,0,26.7,0,0,BAL,TE,393,15.35
43,Isiah Pacheco,0,0,52.3,0,0,KC,RB,215,117.15
44,Cade Otton,0,0,30,0,0,TB,TE,279.5,73.75
45,Daniel Bellinger,0,0,37.1,0,0,NYG,TE,301.5,66.3
46,Kevin Harris,0,0,7.2,0,0,NE,RB,0,92.48222222
47,Erik Ezukanma,0,0,17.7,0,0,MIA,WR,0,97.18343333
48,Chigoziem Okonkwo,0,0,8.2,0,0,TEN,TE,0,93.5119
49,Trestan Ebner,0,0,16.4,0,0,CHI,RB,0,97.08222222
50,Charlie Kolar,0,0,22.5,0,0,BAL,TE,0,100.3969
51,Bo Melton,0,0,3.5,0,0,SEA,WR,0,90.63222222
52,Cole Turner,0,0,9.4,0,0,WAS,TE,0,93.58222222
53,Abram Smith,0,0,13.9,0,0,NO,RB,250,80.45
54,Jake Ferguson,0,0,18.8,0,0,DAL,TE,0,98.28222222
55,Montrell Washington,0,0,25.4,0,0,DEN,WR,0,101.5822222
56,Grant Calcaterra,0,0,10.6,0,0,PHI,TE,0,94.56172222
57,Jalen Nailor,0,0,5.8,0,0,MIN,WR,350,42.2505
58,Samori Toure,0,0,12.4,0,0,GB,WR,0,95.08222222
59,Michael Woods II,0,0,8.1,0,0,FA,WR,0,93.51322222
60,Tyler Goodson,0,0,40.2,0,0,GB,RB,0,108.9822222
61,James Mitchell,0,0,9.7,0,0,DET,TE,0,93.73222222
0,Kenny Pickett,0,0,102.4,0,0,PIT,QB,265.5,76.95
1,Malik Willis,0,0,12.1,0,0,TEN,QB,316,35.027
2,Desmond Ridder,0,0,80.5,0,0,ATL,QB,287,55.25
3,Sam Howell,0,0,8.1,0,0,WAS,QB,0,17.8
